script,grapheme,unicode,IPA,comment,source,omniglot
Chechen ,р,U+0440,r̥,,"Dotton & Doyle Wagner, Zura & John. A grammar of Chechen, pp. 5-6.",https://www.omniglot.com/writing/chechen.htm
Chechen ,р,U+0440,r,,"Dotton & Doyle Wagner, Zura & John. A grammar of Chechen, pp. 5-6.",https://www.omniglot.com/writing/chechen.htm
Chechen ,с,U+0441,s,,"Dotton & Doyle Wagner, Zura & John. A grammar of Chechen, pp. 5-6.",https://www.omniglot.com/writing/chechen.htm
Chechen ,т,U+0442,t,,"Dotton & Doyle Wagner, Zura & John. A grammar of Chechen, pp. 5-6.",https://www.omniglot.com/writing/chechen.htm
Chechen ,тӀ,U+0442 U+04C0,thʼ,,"Dotton & Doyle Wagner, Zura & John. A grammar of Chechen, pp. 5-6.",https://www.omniglot.com/writing/chechen.htm
Chechen ,тӀ,U+0442 U+04C0,tʼ,,"Dotton & Doyle Wagner, Zura & John. A grammar of Chechen, pp. 5-6.",https://www.omniglot.com/writing/chechen.htm
Chechen ,у,U+0443,u,,"Dotton & Doyle Wagner, Zura & John. A grammar of Chechen, pp. 5-6.",https://www.omniglot.com/writing/chechen.htm
Chechen ,у,U+0443,uː,,"Dotton & Doyle Wagner, Zura & John. A grammar of Chechen, pp. 5-6.",https://www.omniglot.com/writing/chechen.htm
Chechen ,уь,U+0443 U+044C,y,,"Dotton & Doyle Wagner, Zura & John. A grammar of Chechen, pp. 5-6.",https://www.omniglot.com/writing/chechen.htm
Chechen ,уь,U+0443 U+044C,yː,,"Dotton & Doyle Wagner, Zura & John. A grammar of Chechen, pp. 5-6.",https://www.omniglot.com/writing/chechen.htm
Chechen ,ф,U+0444,f,,"Dotton & Doyle Wagner, Zura & John. A grammar of Chechen, pp. 5-6.",https://www.omniglot.com/writing/chechen.htm
Chechen ,х,U+0445,x,,"Dotton & Doyle Wagner, Zura & John. A grammar of Chechen, pp. 5-6.",https://www.omniglot.com/writing/chechen.htm
Chechen ,хь,U+0445 U+044C,ʜ,,"Dotton & Doyle Wagner, Zura & John. A grammar of Chechen, pp. 5-6.",https://www.omniglot.com/writing/chechen.htm
Chechen ,хӀ,U+0445 U+04C0,h,,"Dotton & Doyle Wagner, Zura & John. A grammar of Chechen, pp. 5-6.",https://www.omniglot.com/writing/chechen.htm
Chechen ,ц,U+0446,ts,,"Dotton & Doyle Wagner, Zura & John. A grammar of Chechen, pp. 5-6.",https://www.omniglot.com/writing/chechen.htm
Chechen ,цӀ,U+0446 U+04C0,tshʼ,,"Dotton & Doyle Wagner, Zura & John. A grammar of Chechen, pp. 5-6.",https://www.omniglot.com/writing/chechen.htm
Chechen ,цӀ,U+0446 U+04C0,tsʼ,,"Dotton & Doyle Wagner, Zura & John. A grammar of Chechen, pp. 5-6.",https://www.omniglot.com/writing/chechen.htm
Chechen ,ч,U+0447,tʃ,,"Dotton & Doyle Wagner, Zura & John. A grammar of Chechen, pp. 5-6.",https://www.omniglot.com/writing/chechen.htm
Chechen ,чӀ,U+0447 U+04C0,tʃhʼ,,"Dotton & Doyle Wagner, Zura & John. A grammar of Chechen, pp. 5-6.",https://www.omniglot.com/writing/chechen.htm
Chechen ,чӀ,U+0447 U+04C0,tʃʼ,,"Dotton & Doyle Wagner, Zura & John. A grammar of Chechen, pp. 5-6.",https://www.omniglot.com/writing/chechen.htm
Chechen ,ш,U+0448,ʃ,,"Dotton & Doyle Wagner, Zura & John. A grammar of Chechen, pp. 5-6.",https://www.omniglot.com/writing/chechen.htm
Chechen ,щ,U+0449,,,"Dotton & Doyle Wagner, Zura & John. A grammar of Chechen, pp. 5-6.",https://www.omniglot.com/writing/chechen.htm
Chechen ,ъ,U+044A,ʔ,,"Dotton & Doyle Wagner, Zura & John. A grammar of Chechen, pp. 5-6.",https://www.omniglot.com/writing/chechen.htm
Chechen ,ы,U+044B,,,"Dotton & Doyle Wagner, Zura & John. A grammar of Chechen, pp. 5-6.",https://www.omniglot.com/writing/chechen.htm
Chechen ,ь,U+044C,,,"Dotton & Doyle Wagner, Zura & John. A grammar of Chechen, pp. 5-6.",https://www.omniglot.com/writing/chechen.htm
Chechen ,э,U+044D,je,,"Dotton & Doyle Wagner, Zura & John. A grammar of Chechen, pp. 5-6.",https://www.omniglot.com/writing/chechen.htm
Chechen ,ю,U+044E,ju,,"Dotton & Doyle Wagner, Zura & John. A grammar of Chechen, pp. 5-6.",https://www.omniglot.com/writing/chechen.htm
Chechen ,юь,U+044E U+044C,jy,,"Dotton & Doyle Wagner, Zura & John. A grammar of Chechen, pp. 5-6.",https://www.omniglot.com/writing/chechen.htm
Chechen ,я,U+044F,ja,,"Dotton & Doyle Wagner, Zura & John. A grammar of Chechen, pp. 5-6.",https://www.omniglot.com/writing/chechen.htm
Chechen ,яь,U+044F U+044C,jæ,,"Dotton & Doyle Wagner, Zura & John. A grammar of Chechen, pp. 5-6.",https://www.omniglot.com/writing/chechen.htm
Chechen ,Ӏ,U+04C0,ʡ,,"Dotton & Doyle Wagner, Zura & John. A grammar of Chechen, pp. 5-6.",https://www.omniglot.com/writing/chechen.htm
Chechen ,Ӏ,U+04C0,ˤ,,"Dotton & Doyle Wagner, Zura & John. A grammar of Chechen, pp. 5-6.",https://www.omniglot.com/writing/chechen.htm
