script,grapheme,unicode,ӏPA,comment,source,omniglot
Avar,х,U+0445,χ,,"Г. И. Мадиева, Аварский язык, Языки народов СССР. Т. 4. - М., 1967. - С. 294",http://www.omniglot.com/writing/avar.htm
Avar,хх,U+0445 U+0445,χː,doubtful,"Г. И. Мадиева, Аварский язык, Языки народов СССР. Т. 4. - М., 1967. - С. 295",http://www.omniglot.com/writing/avar.htm
Avar,хъ,U+0445 U+044A,qχʰ,,"Г. И. Мадиева, Аварский язык, Языки народов СССР. Т. 4. - М., 1967. - С. 296",http://www.omniglot.com/writing/avar.htm
Avar,хь,U+0445 U+044C,x,,"Г. И. Мадиева, Аварский язык, Языки народов СССР. Т. 4. - М., 1967. - С. 297",http://www.omniglot.com/writing/avar.htm
Avar,хьхь,U+0445 U+044C U+0445 U+044C,xː,doubtful,"Г. И. Мадиева, Аварский язык, Языки народов СССР. Т. 4. - М., 1967. - С. 298",http://www.omniglot.com/writing/avar.htm
Avar,хӏ,U+0445 U+04CF,ħ,,"Г. И. Мадиева, Аварский язык, Языки народов СССР. Т. 4. - М., 1967. - С. 299",http://www.omniglot.com/writing/avar.htm
Avar,ц,U+0446,tsʰ,,"Г. И. Мадиева, Аварский язык, Языки народов СССР. Т. 4. - М., 1967. - С. 300",http://www.omniglot.com/writing/avar.htm
Avar,цц,U+0446 U+0446,tsʰː,doubtful,"Г. И. Мадиева, Аварский язык, Языки народов СССР. Т. 4. - М., 1967. - С. 301",http://www.omniglot.com/writing/avar.htm
Avar,цӏ,U+0446 U+04CF,tsʼ,,"Г. И. Мадиева, Аварский язык, Языки народов СССР. Т. 4. - М., 1967. - С. 302",http://www.omniglot.com/writing/avar.htm
 Avar , цӏцӏ , U+0446 U+04CF U+0446 U+04CF ,tsːʼ,doubtful,"Г. И. Мадиева, Аварский язык, Языки народов СССР. Т. 4. - М., 1967. - С. 303", http://www.omniglot.com/writing/avar.htm 
Avar,ч,U+0447,tʃ,,"Г. И. Мадиева, Аварский язык, Языки народов СССР. Т. 4. - М., 1967. - С. 304",http://www.omniglot.com/writing/avar.htm
 Avar , чч , U+0447 U+0447 ,tʃː,doubtful,"Г. И. Мадиева, Аварский язык, Языки народов СССР. Т. 4. - М., 1967. - С. 305", http://www.omniglot.com/writing/avar.htm 
Avar,чӏ,U+0447 U+04CF,tʃʼ,,"Г. И. Мадиева, Аварский язык, Языки народов СССР. Т. 4. - М., 1967. - С. 306",http://www.omniglot.com/writing/avar.htm
 Avar , чӏчӏ , U+0447 U+04CF U+0447 U+04CF ,tʃːʼ,doubtful,"Г. И. Мадиева, Аварский язык, Языки народов СССР. Т. 4. - М., 1967. - С. 307", http://www.omniglot.com/writing/avar.htm 
Avar,ш,U+0448,ʃ,,"Г. И. Мадиева, Аварский язык, Языки народов СССР. Т. 4. - М., 1967. - С. 308",http://www.omniglot.com/writing/avar.htm
Avar,щ,U+0449,ʃː,,"Г. И. Мадиева, Аварский язык, Языки народов СССР. Т. 4. - М., 1967. - С. 309",http://www.omniglot.com/writing/avar.htm
Avar,ъ,U+044A,ʔ,,"Г. И. Мадиева, Аварский язык, Языки народов СССР. Т. 4. - М., 1967. - С. 310",http://www.omniglot.com/writing/avar.htm
Avar,ы,U+044B,ɨ,,"Г. И. Мадиева, Аварский язык, Языки народов СССР. Т. 4. - М., 1967. - С. 311",http://www.omniglot.com/writing/avar.htm
Avar,ь,U+044C,,,"Г. И. Мадиева, Аварский язык, Языки народов СССР. Т. 4. - М., 1967. - С. 312",http://www.omniglot.com/writing/avar.htm
Avar,э,U+044D,e,,"Г. И. Мадиева, Аварский язык, Языки народов СССР. Т. 4. - М., 1967. - С. 313",http://www.omniglot.com/writing/avar.htm
Avar,ю,U+044E,ju,,"Г. И. Мадиева, Аварский язык, Языки народов СССР. Т. 4. - М., 1967. - С. 314",http://www.omniglot.com/writing/avar.htm
Avar,я,U+044F,ja,,"Г. И. Мадиева, Аварский язык, Языки народов СССР. Т. 4. - М., 1967. - С. 315",http://www.omniglot.com/writing/avar.htm






,,,,,,,
