script,grapheme,unicode,ӏPA,comment,source,omniglot
Kabardian (East Circassian),ху,U+0445U+0443,xʷ,,Matasović 2010: 9-11.,http://www.omniglot.com/writing/kabardian.htm
Kabardian (East Circassian),хъ,U+0445U+044A,χ,,Matasović 2010: 9-11.,http://www.omniglot.com/writing/kabardian.htm
Kabardian (East Circassian),хъу,U+0445U+044AU+0443,χʷ,,Matasović 2010: 9-11.,http://www.omniglot.com/writing/kabardian.htm
Kabardian (East Circassian),хь,U+0445U+044C,ħ,,Matasović 2010: 9-11.,http://www.omniglot.com/writing/kabardian.htm
Kabardian (East Circassian),ц,U+0446,t͡s,,Matasović 2010: 9-11.,http://www.omniglot.com/writing/kabardian.htm
Kabardian (East Circassian),цӏ,U+0446U+04CF,t͡sʼ,,Matasović 2010: 9-11.,http://www.omniglot.com/writing/kabardian.htm
Kabardian (East Circassian),ч,U+0447,t͡ʃ,,Matasović 2010: 9-11.,http://www.omniglot.com/writing/kabardian.htm
Kabardian (East Circassian),чӏ,U+0447U+04CF,t͡ʃʼ,,Matasović 2010: 9-11.,http://www.omniglot.com/writing/kabardian.htm
Kabardian (East Circassian),ш,U+0448,ʃ,,Matasović 2010: 9-11.,http://www.omniglot.com/writing/kabardian.htm
Kabardian (East Circassian),щ,U+0449,ɕ,,Matasović 2010: 9-11.,http://www.omniglot.com/writing/kabardian.htm
Kabardian (East Circassian),щӏ,U+0449U+04CF,ɕʼ,,Matasović 2010: 9-11.,http://www.omniglot.com/writing/kabardian.htm
Kabardian (East Circassian),ъ,U+044A,ɣ,,Matasović 2010: 9-11.,http://www.omniglot.com/writing/kabardian.htm
Kabardian (East Circassian),ь,U+044C,j,,Matasović 2010: 9-11.,http://www.omniglot.com/writing/kabardian.htm
Kabardian (East Circassian),ы,U+044B,ə,,Matasović 2010: 9-11.,http://www.omniglot.com/writing/kabardian.htm
Kabardian (East Circassian),э,U+044D,a,,Matasović 2010: 9-11.,http://www.omniglot.com/writing/kabardian.htm
Kabardian (East Circassian),ю,U+044E,ju,,Matasović 2010: 9-11.,http://www.omniglot.com/writing/kabardian.htm
Kabardian (East Circassian),я,U+044F,jaː,,Matasović 2010: 9-11.,http://www.omniglot.com/writing/kabardian.htm
