script,grapheme,unicode,IPA,comment,source,omniglot
Adyghe,а,U+0430,a:,,G. Hewitt (2005) North West Caucasian. In Lingua 115. 1-2. p. 98-100.,https://www.omniglot.com/writing/adyghe.htm
Adyghe,б,U+0431,b,,G. Hewitt (2005) North West Caucasian. In Lingua 115. 1-2. p. 98-100.,https://www.omniglot.com/writing/adyghe.htm
Adyghe,в,U+0432,v,,G. Hewitt (2005) North West Caucasian. In Lingua 115. 1-2. p. 98-100.,https://www.omniglot.com/writing/adyghe.htm
Adyghe,г,U+0433,ɣ,,G. Hewitt (2005) North West Caucasian. In Lingua 115. 1-2. p. 98-100.,https://www.omniglot.com/writing/adyghe.htm
Adyghe,гу,U+0433 U+0443,ɡʷ,,G. Hewitt (2005) North West Caucasian. In Lingua 115. 1-2. p. 98-100.,https://www.omniglot.com/writing/adyghe.htm
Adyghe,гъ,U+0433 U+044A,ʁ,,G. Hewitt (2005) North West Caucasian. In Lingua 115. 1-2. p. 98-100.,https://www.omniglot.com/writing/adyghe.htm
Adyghe,гъу,U+0433 U+044A U+0443,ʁʷ,,G. Hewitt (2005) North West Caucasian. In Lingua 115. 1-2. p. 98-100.,https://www.omniglot.com/writing/adyghe.htm
Adyghe,д,U+0434,d,,G. Hewitt (2005) North West Caucasian. In Lingua 115. 1-2. p. 98-100.,https://www.omniglot.com/writing/adyghe.htm
Adyghe,дж,U+0434 U+0436,dʒ,,G. Hewitt (2005) North West Caucasian. In Lingua 115. 1-2. p. 98-100.,https://www.omniglot.com/writing/adyghe.htm
Adyghe,дз,U+0434 U+0437,dz,,G. Hewitt (2005) North West Caucasian. In Lingua 115. 1-2. p. 98-100.,https://www.omniglot.com/writing/adyghe.htm
Adyghe,дзу,U+0434 U+0437 U+0443,dzʷ,,G. Hewitt (2005) North West Caucasian. In Lingua 115. 1-2. p. 98-100.,https://www.omniglot.com/writing/adyghe.htm
Adyghe,е,U+0435,aj,,G. Hewitt (2005) North West Caucasian. In Lingua 115. 1-2. p. 98-100.,https://www.omniglot.com/writing/adyghe.htm
Adyghe,е,U+0435,ja,,G. Hewitt (2005) North West Caucasian. In Lingua 115. 1-2. p. 98-100.,https://www.omniglot.com/writing/adyghe.htm
